,x,y,distance,text1,text2
0,0,1,261,absolutely wonderful  silky and sexy and comfortable,"love this dress  it's sooo pretty  i happened to find it in a store and i'm glad i did bc i never would have ordered it online bc it's petite  i bought a petite and am 5'8""  i love the length on me hits just a little below the knee  would definitely be a true midi on someone who is truly petite"
1,0,2,446,absolutely wonderful  silky and sexy and comfortable,i had such high hopes for this dress and really wanted it to work for me i initially ordered the petite small (my usual size) but i found this to be outrageously small so small in fact that i could not zip it up i reordered it in petite medium which was just ok overall the top half was comfortable and fit nicely but the bottom half had a very tight under layer and several somewhat cheap (net) over layers imo a major design flaw was the net over layer sewn directly into the zipper  it c
2,0,3,90,absolutely wonderful  silky and sexy and comfortable,i love love love this jumpsuit it's fun flirty and fabulous every time i wear it i get nothing but great compliments
3,0,4,155,absolutely wonderful  silky and sexy and comfortable,this shirt is very flattering to all due to the adjustable front tie it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan love this shirt
4,0,5,434,absolutely wonderful  silky and sexy and comfortable,i love tracy reese dresses but this one is not for the very petite i am just under 5 feet tall and usually wear a 0p in this brand this dress was very pretty out of the package but its a lot of dress the skirt is long and very full so it overwhelmed my small frame not a stranger to alterations shortening and narrowing the skirt would take away from the embellishment of the garment i love the color and the idea of the style but it just did not work on me i returned this dress
5,0,6,441,absolutely wonderful  silky and sexy and comfortable,i aded this in my basket at hte last mintue to see what it would look like in person (store pick up) i went with teh darkler color only because i am so pale :) hte color is really gorgeous and turns out it mathced everythiing i was trying on with it prefectly it is a little baggy on me and hte xs is hte msallet size (bummer no petite) i decided to jkeep it though because as i said it matvehd everything my ejans pants and the 3 skirts i waas trying on (of which i ]kept all ) oops
6,0,7,423,absolutely wonderful  silky and sexy and comfortable,i ordered this in carbon for store pick up and had a ton of stuff (as always) to try on and used this top to pair (skirts and pants) everything went with it the color is really nice charcoal with shimmer and went well with pencil skirts flare pants etc my only compaint is it is a bit big sleeves are long and it doesn't go in petite also a bit loose for me but no xxs so i kept it and wil ldecide later since the light color is already sold out in hte smallest size
7,0,8,132,absolutely wonderful  silky and sexy and comfortable,i love this dress i usually get an xs but it runs a little snug in bust so i ordered up a size very flattering and feminine with the usual retailer flair for style
8,0,9,311,absolutely wonderful  silky and sexy and comfortable,"i'm 5""5' and 125 lbs i ordered the s petite to make sure the length wasn't too long i typically wear an xs regular in retailer dresses if you're less busty (34b cup or smaller) a s petite will fit you perfectly (snug but not tight) i love that i could dress it up for a party or down for work i love that the tulle is longer then the fabric underneath"
9,0,10,293,absolutely wonderful  silky and sexy and comfortable,dress runs small esp where the zipper area runs i ordered the sp which typically fits me and it was very tight the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric pretty disappointed as it was going to be my christmas dress this year needless to say it will be going back
10,0,11,39,absolutely wonderful  silky and sexy and comfortable,this dress is perfection so pretty and flattering
11,0,12,447,absolutely wonderful  silky and sexy and comfortable,more and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past they are right on in their estimation of the product in the case of this dressif it had not been for the reveiwsi doubt i would have even tried this the dress is beautifully made lined and reminiscent of the old retailer quality it is lined in the solid periwinklecolored fabric that matches the outer fabric print tts and very formfitting falls just above the knee and does not rid
12,0,13,327,absolutely wonderful  silky and sexy and comfortable,"bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrrr)
my stats are 34a28/2936 and the xs fit very smoothly around the chest and was flowy around my lower half so i would say it's running big
the straps are very pretty and it could easily be nightwear too
i'm 5'6"" and it came to just below my knees"
13,0,14,451,absolutely wonderful  silky and sexy and comfortable,this is a nice choice for holiday gatherings i like that the length grazes the knee so it is conservative enough for office related gatherings the size small fit me well  i am usually a size 2/4 with a small bust in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big) the problem with this dress is the quality the fabrics are terrible the delicate netting type fabric on the top layer of skirt got stuck in the zip
14,0,15,407,absolutely wonderful  silky and sexy and comfortable,i took these out of the package and wanted them to fit so badly but i could tell before i put them on that they wouldn't these are for an hourglass figure i am more straight up and down the waist was way too small for my body shape and even if i sized up i could tell they would still be tight in the waist and too roomy in the hips  for me that said they are really nice sturdy linenlike fabric pretty color well made i hope they make someone very happy
15,0,16,312,absolutely wonderful  silky and sexy and comfortable,material and color is nice  the leg opening is very large  i am 5'1 (100#) and the length hits me right above my ankle  with a leg opening the size of my waist and hem line above my ankle and front pleats to make me fluffy i think you can imagine that it is not a flattering look  if you are at least average height or taller this may look good on you
16,0,17,249,absolutely wonderful  silky and sexy and comfortable,took a chance on this blouse and so glad i did i wasn't crazy about how the blouse is photographed on the model i paired it whit white pants and it worked perfectly crisp and clean is how i would describe it launders well fits great drape is perfect wear tucked in or out  can't go wrong
17,0,18,130,absolutely wonderful  silky and sexy and comfortable,a flattering super cozy coat  will work well for cold dry days and will look good with jeans or a dressier outfit  i am 5' 5'' about 135 and the small fits great
18,0,19,248,absolutely wonderful  silky and sexy and comfortable,i love the look and feel of this tulle dress i was looking for something different but not over the top for new year's eve i'm small chested and the top of this dress is form fitting for a flattering look once i steamed the tulle it was perfect i ordered an xsp length was perfect too
19,0,20,251,absolutely wonderful  silky and sexy and comfortable,"if this product was in petite i would get the petite the regular is a little long on me but a tailor can do a simple fix on that 

fits nicely i'm 5'4 130lb and pregnant so i bough t medium to grow into 

the tie can be front or back so provides for some nice flexibility on form fitting"
